klingon	english
Dom	radan (crude dilithium crystal) (n)
Don	be parallel, go parallel to (v)
Dop	side (n)
Doq	be orange, red (v)
DoQ	claim (territory) (v)
Dor	escort (v)
DoS	target (n)
Dotlh	status (n)
Doy’	be tired (v)
Doy’yuS	Troyius (n)
Do’	be fortunate, lucky (v)
Do’	luckily, with luck (adv)
Dub	back (of body) (n)
Dub	improve (v)
DuD	mix (v)
Dugh	be vigilant (v)
DuH	be possible (v)
DuH	possibility, option (n)
Duj	instincts (n)
Duj	ship, vessel (n)
Dum	nap (v)
Dun	be wonderful, great (v)
Dung	area above, area overhead (n)
Dup	strategy (n)
DuQ	stab (v)
DuS	torpedo tube (n)
DuSaQ	school (n)
Duv	advance (v)
Duy	agent, emissary (n)
Duy’	be defective (v)
Duy’	defect (n)
Du’	farm (n)
ghagh	gargle (v)
ghaH	he, she, him, her (pro)
ghaj	have, possess (v)
ghap	or, either/or (joining nouns) (conj)
ghaq	contribute (v)
ghar	conduct diplomacy (v)
ghar	diplomacy (n)
ghargh	serpent, worm (n)
gharwI’	diplomat (n)
ghatlh	dominate (v)
ghegh	be rough (v)
ghem	midnight snack (n)
ghIb	consent (v)
ghIch	nose (n)
ghIgh	necklace (n)
ghIH	be messy, sloppy (v)
ghIj	scare (v)
ghIm	exile (v)
ghIpDIj	court-martial (v)
ghIQ	vacation, take a vacation (v)
ghIr	descend (v)
ghItIh	manuscript (n)
ghItlh	write (v)
gho	circle (n)
ghob	ethics (n)
ghobe’	no (answer to a question) (excl)
ghoch	destination (n)
ghoD	stuff (v)
ghogh	voice (n)
ghoH	argue, dispute (v)
ghoj	learn (v)
ghojmoH	teach, instruct (v)
ghojwI’	student (n)
ghol	opponent, adversary (n)
ghom	group, party (n)
ghom	meet, encounter, assemble, rendezvous (v)
ghomHa’	scatter, disperse (v)
ghom’a’	crowd (n)
ghong	abuse (n)
ghong	abuse (v)
ghop	hand (n)
ghopDap	asteroid (n)
ghoq	spy (v)
ghoqwI’	spy (n)
ghor	break (v)
ghor	surface (of a planet) (n)
ghorgh	when? (ques)
ghoS	approach, go away from, proceed, come, follow (a course) (v)
ghoS	thrust (v)
ghot	person (humanoid) (n)
ghov	recognize (v)
gho’	step on (v)
gho’Do	sublight speed (n)
ghu	baby (n)
ghuH	alert (n)
ghuH	prepare for, be alerted to (v)
ghuHmoH	alert, warn (v)
ghum	alarm (n)
ghum	alarm, sound an alarm (v)
ghun	program (a computer) (v)
ghung	be hungry (v)
ghup	swallow (v)
ghur	increase (v)
ghuS	be prepared, ready (to launch) (v)
ghu’	situation (n)
Hab	be smooth (v)
HablI’	data transceiving device (n)
Hach	be developed (e.g., civilization) (v)
HaD	study (v)
Hagh	laugh (v)
Haj	dread (v)
Hal	source (n)
HanDogh	nacelle (n)
Hap	matter (n)
Haq	surgery (n)
HaQchor	saccharin (n)
Har	believe (v)
HaSta	visual display (n)
Hat	be illegal (v)
Hat	temperature (n)
Hatlh	country, countryside (n)
Haw’	flee, get out (v)
Hay’	duel (v)
Ha’	let’s go, come on (excl)
Ha’DIbaH	animal (n)
He	course, route (n)
Hech	intend, mean to (v)
HeD	retreat (v)
HeDon	parallel course (n)
Hegh	die (v)
HeghmoH	be fatal (v)
HeH	edge (n)
Hej	rob (v)
Hem	be proud (v)
HeQ	comply (v)
Hergh	medicine (n)
HeS	commit a crime (v)
HeS	crime (n)
HeSwI’	criminal (n)
Hev	receive (v)
He’	smell, emit odor (v)
He’So’	stink (v)
HIch	handgun (n)
HIchDal	airlock (n)
HIDjolev	menu (n)
HIgh	fight dirty (v)
HIja’	yes, true (answer to yes/no question) (excl)
HIp	uniform (n)
HIq	liquor (n)
HISlaH	yes, true (answer to yes/no question) (excl)
HIv	attack (v)
HIvje’	glass (tumbler) (n)
HI’	dictator (n)
HI’tuy	dictatorship (n)
Hob	yawn (v)
Hoch	everyone, all, everything (n)
HoD	captain (n)
Hogh	week (Klingon) (n)
HoH	kill (v)
HoH’egh	commit suicide (v)
Hoj	be cautious (v)
Hol	language (n)
Hom	bone (n)
Hon	doubt (v)
Hong	impulse power (n)
Hop	be remote, far (v)
Hoq	expedition (n)
Hoqra’	tricorder (n)
HoS	be strong (v)
HoS	strength, energy, power (n)
HoSchem	energy field (n)
HoSDo’	energy beings (n)
HoSghaj	be powerful (v)
Hot	touch, feel (v)
Hotlh	project, put on (screen) (v)
Hotlh	scan (v)
HotlhwI’	scanner (n)
Hov	star (n)
Hovtay’	star system (n)
Hoy’	congratulate (v)
Ho’	admire (v)
Ho’	tooth (n)
Ho”oy’	toothache (n)
Hu	zoo (n)
Hub	defend (v)
Hub	defense (n)
Huch	money (n)
HuD	mountain, hill (n)
Hugh	throat (n)
Huj	be strange (v)
Huj	charge (up) (v)
Hum	be sticky (v)
Human	human (n)
Hung	security (n)
Hup	punish (v)
Huq	transact (v)
Hur	outside (n)
Hurgh	be dark (v)
Hurgh	pickle (cucumber) (n)
HuS	hang (v)
Hut	nine (num)
HutDIch	ninth (num)
Huv	be clear, not obstructed (v)
Huy’	eyebrow (n
Hu’	days ago (n)
Hu’	get up (v)
jab	serve (food) (v)
jabbI’ID	data transmission (n)
jach	scream, cry out, shout, yell (v)
jagh	enemy (n)
jaH	go (v)
jaj	day (from dawn to dawn) (n)
jajIo’	dawn (n)
jan	device (n)
jang	answer, reply (v)
jaq	be bold (v)
jar	month (Klingon) (n)
jat	tongue (n)
jatlh	speak (v)
jav	six (num)
javDIch	sixth (num)
jaw	chat (v)
jaw	lord (n)
ja’	tell, report (v)
ja’chuq	discuss, confer (v)
je	also, and (joining nouns) (conj)
jech	disguise (v)
jegh	surrender, give up (v)
jeH	be absentminded (v)
jej	be sharp (v)
jen	be high (v)
jeQ	be self-confident (v)
jeS	participate (v)
jev	storm (v)
jey	defeat (v)
je’	buy, purchase (v)
je’	feed (someone else) (v)
jIb	hair (on head) (n)
jIH	I, me (pro)
jIH	viewing screen (n)
jIj	cooperate (v)
jil	neighbor (n)
jInmol	project (n)
jIp	penalty (n)
jIv	be ignorant (v)
jo	resources (n)
joch	be harmful (v)
joD	stoop (v)
joH	lord (n)
joj	area between (n)
jojlu’	consul (n)
jol	beam (aboard) (v)
jol	transport beam (n)
jolpa’	transport room (n)
jolvoy’	transporter ionizer unit (n)
jon	capture (v)
jonta’	engine (n)
jonwI’	engineer (n)
joq	flap, flutter, wave (v)
joq	or, and/or (joining nouns) (conj)
joqwI’	flag (n)
jor	explode (v)
jorwI’	explosive (n)
joS	gossip (v)
joS	rumor, gossip (n)
jot	be calm (v)
jotHa’	be uneasy (v)
jotlh	take down (v)
joy’	torture (v)
jo’	machinery (n)
jub	be immortal (v)
jubbe’	be mortal (v)
juH	home (n)
jum	be odd (v)
jun	evade, take evasive action (v)
jup	friend (n)
juS	overtake, pass (v)
juv	measure (v)
lab	transmit data (away from a place) (v)
lach	exaggerate (v)
laD	read (v)
laH	ability (n)
laj	accept (v)
laj	acceptance (n)
lalDan	religion (n)
lam	be dirty (v)
lam	dirt (n)
lan	place (v)
lang	be thin (v)
laQ	fire, energize (e.g., thrusters) (v)
largh	smell, sense odors (v)
laSvargh	factory (n)
law’	be many (v)
lay’	promise (v)
la’	commander (n)
legh	see (v)
leH	maintain (v)
leH	maintenance (n)
lel	get out, take out (v)
leng	roam, travel, rove (v)
leng	trip, voyage (n)
lengwI’	rover (grammatical term) (n)
leQ	switch (n)
leS	days from now (n)
leS	rest, relax (v)
leSpoH	shore leave (n)
let	be hard (like a rock) (v)
le’	be special, exceptional (v)
lIgh	ride (v)
lIH	introduce (v)
lIj	forget (v)
lIm	panic (v)
lInDab	espionage (n)
lIng	produce (v)
lIq	round up (v)
lIS	adjust (v)
lIy	comet (n)
lI’	be useful (v)
lI’	transmit data (to a place) (v)
lob	obey (v)
lobHa’	disobey (v)
loch	mustache (n)
loD	male, man (n)
loDHom	boy (n)
loDnal	husband (n)
loDnI’	brother (n)
logh	space (n)
loH	administer (v)
loH	administration (n)
loj	be all gone (v)
lojmIt	door, gate (n)
lolSeHcha	attitude-control thrusters (n)
lom	corpse (n)
Ion	abandon (v)
lop	celebrate (v)
loQ	slightly, a little bit (adv)
loS	four (num)
loS	wait (for) (v)
loSDIch	fourth (num)
loSpev	quadrotriticale (n)
lot	catastrophe (n)
lotlh	rebel (v)
lotlhwl’	rebel (n)
loy	guess (v)
lo’	use (v)
lo’laH	be valuable (v)
lo’laHbe’	be worthless (v)
luch	equipment, gear (n)
lugh	be right, correct (v)
luH	yank (v)
luj	fail (v)
lulIgh	refuge (n)
lum	postpone, procrastinate (v)
lup	second (of time) (n)
lup	transport (v)
luq	yes, okay, I will (excl)
lur	pupil (of eye) (n)
lurDech	tradition (n)
lut	story (n)
lutlh	be primitive (v)
lu’	yes, okay, I will (excl)
mab	treaty (n)
mach	be small (v)
magh	betray (v)
maghwI’	traitor (n)
maH	ten (number-forming element) (num)
maH	we, us (pro)
maj	good (expressing satisfaction) (excl)
majQa’	well done, very good (excl)
malja’	business (n)
mang	soldier (n)
mangghom	army (n)
maq	proclaim (v)
maS	moon (n)
maS	prefer (v)
maSwov	moonlight (n)
matHa’	gunner (n)
mavjop	paper clip (n)
maw	offend (v)
maw’	be crazy (v)
may	be fair (v)
may’	battle (n)
may’Duj	battle cruiser (n)
may’morgh	battle array (n)
ma’	accommodate (v)
meb	guest (n)
mech	trade (v)
megh	lunch (n)
meH	bridge (of a ship) (n)
mem	catalog (n)
mep	plastic (n)
meq	reason (n)
meq	reason (v)
meQ	burn (v)
mer	surprise (v)
mev	stop, cease (v)
mIch	sector, zone (n)
mID	colony (n)
mIgh	be evil (v)
mIm	delay (v)
mIn	eye (n)
mIp	be rich (v)
mIqta’	machinery (n)
mIr	chain (n)
mIS	be confused, mixed up (v)
mIS	confusion (n)
mISmoH	confuse (v)
mIv	helmet (n)
mIy	brag (v)
mI’	number (n)
mob	be alone (v)
moch	superior (n)
moD	hurry (v)
mogh	be frustrated (v)
moH	be ugly (v)
moHaq	prefix (n)
moj	become (v)
mojaq	suffix (n)
mol	bury (v)
mol	grave (n)
mon	capital (of a place) (n)
mong	neck (n)
mongDech	collar (n)
mop	robe (n)
moQ	sphere (n)
moS	compromise (v)
motlh	be usual (v)
motlhbe’	be unusual (v)
moy’bI’	slingshot (n)
mo’	cage (n)
mub	be legal (v)
much	present (v)
much	presentation (n)
muD	atmosphere (n)
mugh	translate (v)
mughato’	mugato (n)
mughwI’	translator (n)
muH	execute, put to death (v)
muj	be wrong (v)
mul	be stubborn (v)
mung	origin (n)
mup	impact, strike (v)
muS	hate, detest (v)
mut	be selfish (v)
mut	species (n)
muv	join (v)
mu’	word (n)
mu’ghom	dictionary (n)
mu’tay’	vocabulary (n)
mu’tlhegh	sentence (n)
nab	plan (v)
nach	head (n)
naDev	here, hereabouts (n)
nagh	rock, stone (n)
naj	dream (v)
nap	be simple (v)
nargh	appear (v)
naS	be vicious (v)
nav	paper (n)
nawlogh	squadron (n)
naw’	access (v)
nay	marry (wife does this) (v)
nay’	course, dish (at a meal) (n)
nech	be lateral, move laterally (v)
negh	soldiers (n)
neH	only, merely, just (adv)
neH	want (v)
neHmaH	neutral zone (n)
nej	look for, seek, search for (v)
nem	years from now (n)
nep	lie, fib (v)
net	that (previous topic) (pro)
netlh	ten thousand (num)
ne’	yeoman (n)
nIb	be identical (v)
nIch	ammunition (n)
nID	attempt, try (v)
nIH	right (side) (n)
nIH	steal (v)
nIHwI’	thief (n)
nIj	leak (v)
nIn	fuel (n)
nIQ	breakfast (n)
nIS	hinder, interfere (v)
nItlh	finger (n)
nIv	be superior (v)
nIvnav	pajamas (n)
nI’	be long, lengthy (duration) (v)
nob	gift (n)
nob	give (v)
noch	sensor (n)
noD	retaliate (v)
nogh	writhe (v)
noH	judge, estimate (v)
noj	lend (v)
nol	funeral (n)
nom	fast, quickly (adv)
non	be rotten (v)
nong	be passionate (v)
nop	omit (v)
noSvagh	deodorant (n)
not	never (adv)
nov	alien, foreigner (n)
nov	be foreign, alien (v)
noy	be famous, well known (v)
no’	ancestors (n)
nub	be suspect (v)
nubwI’	predecessor (n)
nuch	coward (n)
nuD	examine (v)
nugh	society (n)
nuH	weapon (n)
nuHHom	small arms (n)
nuj	mouth (n)
num	promote (v)
nung	precede (v)
nup	decrease (v)
nural	Neural (n)
nuralngan	Neuralese (n)
nuq	what? (ques)
nuqDaq	where? (ques)
nuqneH	what do you want? (greeting) (excl)
nuQ	annoy, bother(v)
nur	dignity (n)
nuS	ridicule (v)
nuv	person (humanoid) (n)
ngab	disappear, vanish (v)
ngach	debate (v)
ngan	inhabitant (n)
ngaq	support (military term) (n)
ngaS	contain (have inside) (v)
ngat	gunpowder (n)
ngav	writer’s cramp (n)
ngeb	be counterfeit, false, fake (v)
ngech	valley (n)
ngeD	be easy (v)
ngeH	send (v)
ngej	infect (v)
ngem	forest, woods (n)
ngeng	lake (n)
ngep	override (v)
nger	theory (n)
ngev	sell (v)
nge’	take away (v)
ngIl	dare (v)
ngIm	be putrid (v)
ngIp	borrow (v)
ngIv	patrol (v)
ngoD	fact (n)
ngoH	smear (v)
ngoj	be restless (v)
ngong	experiment (n)
ngong	experiment (v)
ngoq	code (n)
ngoQ	goal(n)
ngor	cheat (v)
ngoS	dissolve (v)
ngotlh	be fanatical (v)
ngoy’	be responsible (v)
ngo’	be old (not new) (v)
ngup	cape (clothing) (n)
ngu’	identify (v)
pab	follow (rules) (v)
pab	grammar (n)
pagh	nothing, none (n)
pagh	or, either/or (joining sentences) (conj)
pagh	zero (num)
paH	gown (n)
paj	resign (v)
paq	book (n)
paQDI’norgh	teachings (n)
par	dislike (v)
parHa’	like (v)
paSlogh	socks (n)
pat	system (n)
pav	be urgent (v)
paw	arrive (v)
paw’	collide (v)
pay	regret (v)
pay’	suddenly (adv)
pa’	room (n)
pa’	there, over there, thereabouts (n)
peD	snow (v)
pegh	keep something secret (v)
pegh	secret (n)
pej	demolish (v)
pem	daytime (n)
pemjep	midday (n)
peng	torpedo (n)
pep	raise (v)
per	label (n)
per	label (v)
pey	acid (n)
pe’	cut (v)
pIch	blame (v)
pIch	fault, blame (n)
pIgh	ruins (n)
pIH	expect (v)
pIH	be suspicious (v)
pIj	often (adv)
pIm	be different (v)
pIn	boss (n)
pIp	spine (n)
pIqaD	Klingon writing system (n)
pItlh	done (excl)
pIv	be healthy (v)
pIvghor	warp drive (n)
pIvlob	warp factor (n)
pI’	be fat (v)
po	morning (n)
pob	hair (on body) (n)
poch	plant (v)
poD	be clipped (v)
pogh	glove (n)
poH	period of time (n)
poH	time (v)
poj	analysis (n)
poj	analyze (v)
pol	keep, save (v)
pom	dysentery (n)
pon	persuade, convince (v)
pong	name (n)
pong	name, call (v)
poq	indigestion (n)
poQ	demand, require (v)
porgh	body (n)
poS	be open, opened (v)
poS	left (side) (n)
poSmoH	open (v)
potlh	consequential thing, something important (n)
pov	afternoon (n)
pov	be excellent (v)
po’	be expert, skilled (v)
pub	boil (v)
puch	toilet (n)
puchpa’	washroom (n)
pugh	dregs (n)
puH	land (n)
puj	be weak (v)
pujmoH	weaken (v)
pujwI’	weakling (n)
pum	accusation (n)
pum	accuse (v)
pum	fall (v)
pung	mercy (n)
pup	be perfect, exact (v)
pup	kick (v)
puq	child, offspring (n)
puqbe’	daughter (n)
puqloD	son (n)
puQ	be fed up (v)
puS	be few, be several, be a handful (v)
puS	sight (with gunsight) (v)
puv	fly (v)
puy	wreck (v)
puyjaq	nova (n)
pu’	phaser (n)
pu’beH	phaser rifle (n)
pu’beq	phaser crew (n)
pu’DaH	phaser banks (n)
pu’HIch	phaser pistol (n)
qab	be bad (v)
qab	face (n)
qach	building, structure (n)
qagh	interrupt (v)
qaH	sir (n)
qal	be corrupt (v)
qalmoH	corrupt (v)
qam	foot (n)
qama’	prisoner (n)
qan	be old (not young) (v)
qap	insist (v)
qaS	occur, happen (v)
qat	wrap (v)
qatlh	why? (ques)
qaw	remember (v)
qawHaq	memory banks (n)
qawmoH	remind (v)
qay’	be a problem, be a hassle (v)
qa’vam	Genesis (n)
qech	idea (n)
qeD	vacate (v)
qeH	resent (v)
qej	be grouchy, mean (v)
qelI’qam	kellicam (n)
qem	bring (v)
qempa’	ancestor (n)
qeng	carry, convey (v)
qep	meeting (n)
qeq	drill (military) (n)
qeq	practice, train, prepare (v)
qeS	advice (n)
qeS	advise (v)
qet	run, jog (v)
qetlh	be dull, uninteresting (v)
qev	crowd (v)
qevaS	kevas (n)
qevpob	cheek (n)
qIb	galaxy (n)
qIbHes	galactic rim (n)
qIch	condemn (v)
qIgh	shortcut (n)
qIH	meet (for the first time) (v)
qIj	be black (v)
qIl	cancel (v)
qIm	pay attention, concentrate (v)
qImHa’	disregard (v)
qIp	hit (with hand, fist, implement) (v)
qIQ	mutiny (v)
qIv	knee (n)
qI’	sign (a treaty) (v)
qoch	partner (n)
qogh	belt (n)
qoH	fool (n)
qoj	cliff (n)
qoj	or, and/or (joining sentences) (conj)
qon	record (v)
qop	arrest (v)
qoq	robot(n)
qor	scavenge (v)
qorDu’	family (n)
qotlh	tickle (v)
qoS	birthday (n)
qoy’	plead, beg (v)
qub	be rare (v)
quch	kidnap (v)
qugh	cruise (v)
quHvaj	dandruff (n)
qul	fire (n)
qum	govern (v)
qum	government (n)
qun	history (n)
qun	scold (v)
qup	elder (n)
quprIp	Council of Elders (n)
quq	happen simultaneously (v)
qur	be greedy (v)
quS	chair (n)
qut	crystal (geologic formation) (n)
qu’	be fierce (v)
Qab	theragen (n)
QaD	be dry (v)
Qagh	error, mistake (n)
Qagh	err, be mistaken, make a mistake (v)
QaH	help, aid (v)
Qam	stand (v)
Qan	protect (v)
Qap	work, function, succeed (v)
Qapla’	success (n)
QaQ	be good (v)
Qargh	fissure (n)
QaS	troops (n)
Qat	be popular (v)
Qatlh	be difficult (v)
Qav	be final, last (v)
Qaw’	destroy (n)
Qay	transfer (v)
Qay’	blow one’s top (v)
Qa’	type of animal (n)
Qeb	ring (for finger) (n)
QeD	science (n)
QeDpIn	science officer (n)
QeH	anger (n)
QeH	be angry, mad (v)
Qel	doctor, physician (n)
Qey	be tight (v)
QeyHa’	be loose (v)
QeyHa’moH	loosen (v)
QeymoH	tighten (v)
Qe’	restaurant (n)
QIghpej	Klingon agonizer (n)
QIb	shadow (n)
QIch	speech (vocal sounds) (n)
QID	wound (v)
QIH	damage, cause damage (v)
QIH	damage, destruction (n)
QIj	explain (v)
QIp	be stupid (v)
QIt	slowly (adv)
QIv	be inferior (v)
QI’	military (n)
Qob	be dangerous (v)
Qob	danger (n)
Qoch	disagree (v)
Qochbe’	agree (v)
QoD	maneuver (engines) (v)
Qogh	type of animal (n)
Qoj	make war (v)
Qom	experience an earthquake or tremor (v)
QonoS	journal, log (n)
Qong	sleep (v)
Qop	be worn out (v)
QopmoH	wear out (v)
Qorgh	take care of, care for (v)
QoS	be sorry (v)
Qot	lie, recline (v)
Qotlh	disable (v)
Qoy	hear (v)
Qo’	no, I won’t, I refuse (excl)
Qub	think (v)
Quch	be happy (v)
Quch	forehead (n)
QuchHa’	be unhappy (v)
QuD	insurrection (n)
Qugh	disaster (n)
Quj	game (n)
Quj	play a game (v)
QuI	research (v)
Qum	communicate (v)
QumpIn	communications officer (n)
QumwI’	communicator, communications device (n)
Qup	be young (v)
QuQ	engine (n)
QuS	conspiracy (n)
QuS	conspire (v)
Qut	be vulgar (v)
Quv	coordinates (n)
Qu’	duty, quest, mission, task, chore (n) 
raD	force, compel (v)
ragh	decay (v)
ral	be violent (v)
ram	be trivial, trifling, unimportant (v)
ram	night (n)
ramjep	midnight (n)
rap	be the same (v)
rar	connect (v)
raQ	camp (military term) (n)
raQpo’	passenger (n)
ratlh	remain (v)
rav	floor (n)
ray’	targets (n)
ra’	order, command (v)
ra’wI’	commander (n)
reghuluS	Regulus (n)
reghuluSngan	Regulan (n)
reghuluS ’Iwghargh	Regulan bloodworm (n)
reH	always (adv)
reH	play (v)
rejmorgh	worrywart (n)
rep	hour (n)
retlh	area beside, area next to (n)
rewbe’	citizen (n)
rIgh	be lame (v)
rIH	energize (v)
rIHwI’	energizer (n)
rIn	be accomplished, finished (v)
rIp	council, assembly (n)
rIQ	be injured (v)
rIQmoH	injure (v)
rIvSo’	embassy (n)
rIymuS	Remus (n)
ro	trunk (of body) (n)
roghvaH	population (n)
roj	make peace (v)
roj	peace (n)
roj Hom	truce (n)
rojmab	peace treaty (n)
rol	beard (n)
rom	accord (n)
romuluS	Romulus (n)
romuluSngan	Romulan (n)
rop	be sick, ill (v)
rop	disease (n)
ropyaH	infirmary (n)
roQ	put down (v)
ror	be fat (v)
rotlh	be tough (v)
ro’	fist (n)
rugh	antimatter (n)
ruQ	control manually, by hand (v)
rup	fine, tax (v)
rur	resemble (v)
rut	sometimes (adv)
ruv	justice (n)
ru’	be temporary (v)
Sab	decline, deteriorate (v)
Sach	expand (v)
SaD	thousand (num)
Sagh	be serious (v)
SaH	be present (not absent) (v)
SaH	care (about), be concerned (about) (v)
Saj	pet (n)
Sal	ascend (v)
San	fate (n)
SanID	thousand (num)
Sang	obliterate (v)
Sap	volunteer (v)
Saq	land (v)
Saqghom	landing party (n)
SaQ	cry (v)
Sar	be varied, various (v)
Sar	variety (n)
Satlh	agriculture (n)
SaS	be horizontal (v)
Saw	marry (husband does this) (v)
Say’	be clean (v)
Sa’	general (rank) (n)
Segh	race (type, sort, class) (n)
SeH	control (v)
SeHlaw	control panel (n)
Seng	cause trouble (v)
Seng	trouble (n)
Sep	breed (v)
Sep	region (n)
Seq	fault (seismic) (n)
Ser	progress (n)
SermanyuQ	Sherman’s Planet (n)
SeS	steam (n)
Sev	bandage (n)
Sev	contain (an enemy) (v)
Sey	be excited (v)
SeymoH	excite (v)
Se’	frequency (radio) (n)
SIbDoH	satellite (n)
SIch	reach (v)
SID	patient (n)
SIgh	influence (v)
SIH	bend (v)
SIj	slit (v)
SIm	calculate (v)
SIp	gas (n)
SIQ	endure, bear (v)
SIS	rain (v)
SIv	wonder (v)
Soch	seven (num)
SochDIch	seventh (num)
SoD	flood (n)
SoD	flood (v)
SoH	you (pro)
Sol	quarrel (v)
Som	hull (n)
Somraw	muscle (n)
Son	relieve (v)
Sop	eat (v)
SoQ	be closed, shut (v)
SoQ	speech, lecture, address (n)
SoQmoH	close, shut (v)
Sor	tree (n)
Sorgh	sabotage (v)
SoS	mother (n)
SoSnI’	grandmother (n)
Sot	be distressed, be in distress (v)
Sotlaw’	distress call (n)
Sov	know (v)
Soy’	be clumsy (v)
So’	hide, cloak (v)
So’wI’	cloaking device (n)
Sub	be solid (v)
Such	visit (v)
SuD	be green, blue, yellow (v)
SuH	ready, standing by (excl)
Suj	disturb (v)
Sun	discipline (n)
Sung	native (n)
Sup	jump (v)
Sup	resource (n)
Suq	acquire, obtain, get (v)
SuQ	be toxic (v)
Surchem	force field (n)
Surgh	skin (v)
SuS	wind, breeze (n)
Sut	clothing (n)
Sutlh	negotiate (v)
Suv	fight (v)
Suy	merchant (n)
SuyDuj	merchant ship (n)
Su’	ready, standing by (excl)
ta	record (n)
tach	bar, saloon, cocktail lounge (n)
taD	be frozen (v)
taDmoH	freeze (v)
taH	be at a negative angle (v)
taj	knife, dagger (n)
